timestamp,stepresult,id
1615806025740,-FACJ,BIIAJCGCFGECCBJFBAH
1615856896320,B,HAAICIFCAIAAGBIJEGE
1615781770957,-FAFB,DDAAAHEEDIIFCJCGDHF
1615781895594,-EBFF,DDAAAHEEDIIFCJCGDHF
1615781991636,-FAFF,DDAAAHEEDIIFCJCGDHF
1615892066280,-FAEH,ICJFGGHAAIDFADFBBJB
1615892132974,-FAEH,ICJFGGHAAIDFADFBBJB
1615896671584,-EBFF,GCFFJDHEECHIBIDJIIJ
1615808325879,-FAJE,BBBJAIJJBDGEIJHGGAF
1615808546689,-FAFB,BBBJAIJJBDGEIJHGGAF
1615809534553,-EBFF,BBBJAIJJBDGEIJHGGAF
1615809723747,-EBFF,BBBJAIJJBDGEIJHGGAF
1615809758738,-BJC,BBBJAIJJBDGEIJHGGAF
1615801200343,-FABF,FJEEIJBBACCFCHGJBIJ
1615795846590,-FAFF,FCBIEAGCDCCBBDDAFEI
1615890283368,-FABF,CJBGECEFGDEIAJIGIJE
1615890671398,B,CJBGECEFGDEIAJIGIJE
1615890856540,-FAIH,CJBGECEFGDEIAJIGIJE
1615891053797,B,CJBGECEFGDEIAJIGIJE
1615803277783,-EBFF,HGFEBEFGHIIHDEGFDBD
1615807067935,-EBFF,HGFEBEFGHIIHDEGFDBD
1615807257034,B,HGFEBEFGHIIHDEGFDBD
1615796105570,-FAJE,BFADCHEIHCIHAFICGE
1615859496013,-EBFF,CFHHECIHDDIEFBGEGHH
1615792437444,-FAFF,DIBCEACJHGHDGCJFBFD
1615806291358,-FABF,JCJHGJFGBGIJCGBEIDD
1615891722047,-FACJ,BFIJDADAFJBHJFFIEAD
1615778248478,-FACJ,GHEDEBBJAFFGBFDHHEF
1615778433283,-FACJ,GHEDEBBJAFFGBFDHHEF
1615764225374,-FACJ,FJCEJJCBEHDDBIGBHHI
1615777536348,-FACJ,JJCAFGFIJIEIFGFEED
1615868024518,-FAJE,FGCFDFIAIJCHHIHDHFJ
1615865676588,-FAFB,HBDDGHGJDHAECECBABC
1615774805628,-FABF,DFEFAFIHBEABABDHHHF
1615775286061,-FACJ,DFEFAFIHBEABABDHHHF
1615827377485,B,IJBAIIGEHGDHDCHGJAC
1615877468279,-FACJ,JHAHJGIGAFBDDEHDACD
1615877895634,-FAFF,JHAHJGIGAFBDDEHDACD
1615878201221,B,JHAHJGIGAFBDDEHDACD
1615877570876,-FACJ,IAGDBFJHHABBGHEDFF
1615877606251,-FACJ,IAGDBFJHHABBGHEDFF
1615800384852,-FACJ,FIBAJJEIAHGHGABFAIB
1615800745971,-FAFB,FIBAJJEIAHGHGABFAIB
1615800974717,-EBFF,FIBAJJEIAHGHGABFAIB
1615883282801,-FACJ,DBBJEEBHDICADJEHAHD
1615883517215,-FAFF,DBBJEEBHDICADJEHAHD
1615839648962,-FAFF,IBDBCJICJECEDDCEFGJ
1615846691673,-FAIH,IBDBCJICJECEDDCEFGJ
1615846748172,-FAIH,IBDBCJICJECEDDCEFGJ
1615864690850,-EBFF,IJBFBBBGFBHBHFGGDDE
1615864988518,B,IJBFBBBGFBHBHFGGDDE
1615884830361,-FACJ,BHHGHAJCEDAAECJFBFF
1615746416037,B,IHJFFJDBDCJBIHFHGFD
1615742159963,B,JJFFFCCCDJGFBEAEACC
1615859605011,-FACJ,HCAIBCGECCBGGFAEDHE
1615859677725,-FACJ,HCAIBCGECCBGGFAEDHE
1615773652742,-FACJ,DAJBFCABGDHAGGGCABJ
1615786116336,-EBFF,BDDGAFBEBCJBAJEBIJB
1615786206961,-EBFF,BDDGAFBEBCJBAJEBIJB
1615786392157,-FAFF,BDDGAFBEBCJBAJEBIJB
1615786513150,-FABF,BDDGAFBEBCJBAJEBIJB
1615859653965,-FABF,HEJDAJEDACBJGCCEIHC
1615859737570,-EBFF,HEJDAJEDACBJGCCEIHC
